ANIO;MARCA;MODELO;CAMIONES_TRACTO;CARROCERIA;ANIOFAB;PESOBRUTO;FORMULA_RODANTE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;TTL;ORIGEN;TIPO;CLASE_FINAL
2013;YUEJIN;NJ1020DF;CAMIONES;BARANDA;2012;3490;4X2;0;1;17;12;6;2;0;0;0;1;0;0;39;Chino;RIGID;XLDV
2013;YUEJIN;NJ1028DB;CAMIONES;BARANDA;2012;5280;4X2;0;0;0;0;0;0;0;0;0;0;0;1;1;Chino;RIGID;XLDV
2013;YUEJIN;NJ1028DB;CAMIONES;BARANDA;2012;5280;4X2;3;1;5;8;6;0;0;0;1;0;0;0;24;Chino;RIGID;XLDV
2013;YUEJIN;NJ1028DB;CAMIONES;BARANDA;2013;5280;4X2;0;0;0;0;0;0;0;0;0;0;7;10;17;Chino;RIGID;XLDV
2013;YUEJIN;NJ1028DB;CAMIONES;BARANDA;2013;5280;4X2;0;0;0;0;0;5;3;0;4;6;0;0;18;Chino;RIGID;XLDV
2013;YUEJIN;NJ1028DB3;CAMIONES;BARANDA;2012;5208;4X2;0;0;0;0;0;0;0;0;0;0;1;0;1;Chino;RIGID;XLDV
2013;YUEJIN;NJ1028DB3;CAMIONES;BARANDA;2012;5208;4X2;0;0;0;1;0;0;0;0;0;0;0;0;1;Chino;RIGID;XLDV
2013;YUEJIN;NJ1028DBC;CAMIONES;FURGËN;2012;5400;4X2;0;0;0;0;0;1;0;0;0;0;0;0;1;Chino;RIGID;XLDV
2013;YUEJIN;NJ1028DBC;CAMIONES;FURGON;2012;5400;4X2;3;1;4;8;3;0;2;0;0;0;0;0;21;Chino;RIGID;XLDV
2013;YUEJIN;NJ1028DBC;CAMIONES;FURGON;2013;5400;4X2;0;0;0;0;0;0;0;0;1;1;0;0;2;Chino;RIGID;XLDV
2013;YUEJIN;NJ1042DA;CAMIONES;BARANDA;2012;6600;4X2;16;5;5;5;7;4;1;1;3;1;0;0;48;Chino;RIGID;LDV
2013;YUEJIN;NJ1042DA;CAMIONES;BARANDA;2013;6600;4X2;0;0;0;0;0;0;0;0;0;0;1;4;5;Chino;RIGID;LDV
2013;YUEJIN;NJ1042DA;CAMIONES;BARANDA;2013;6600;4X2;0;0;0;0;2;2;4;0;3;6;0;0;17;Chino;RIGID;LDV
2013;YUEJIN;NJ1042MDF3;CAMIONES;BARANDA;2013;5700;4X2;0;0;0;0;0;0;0;1;0;0;0;0;1;Chino;RIGID;XLDV
2013;YUEJIN;NJ1050HDF3;CAMIONES;BARANDA;2013;7175;4X2;0;0;0;0;0;0;0;0;0;0;0;2;2;Chino;RIGID;LDV
2013;YUEJIN;NJ1050HDF3;CAMIONES;BARANDA;2013;7175;4X2;0;0;0;0;0;1;1;0;0;0;0;0;2;Chino;RIGID;LDV
2013;YUEJIN;NJ1050HDFL3;CAMIONES;BARANDA;2013;7520;4X2;0;0;0;0;0;0;0;0;0;0;1;1;2;Chino;RIGID;LDV
2013;YUEJIN;NJ1050HDFL3;CAMIONES;BARANDA;2013;7520;4X2;0;0;0;0;0;1;1;1;0;0;0;0;3;Chino;RIGID;LDV
2013;YUEJIN;NJ1062DA;CAMIONES;BARANDA;2012;7600;4X2;0;0;0;0;0;0;0;0;0;0;0;4;4;Chino;RIGID;LDV
2013;YUEJIN;NJ1062DA;CAMIONES;BARANDA;2012;7600;4X2;0;0;1;0;0;0;0;0;0;0;0;0;1;Chino;RIGID;LDV
2013;YUEJIN;NJ1062DA;CAMIONES;BARANDA;2012;7600;4X2;6;8;9;5;3;0;0;0;2;1;0;0;34;Chino;RIGID;LDV
2013;YUEJIN;NJ1062DA;CAMIONES;BARANDA;2013;7600;4X2;0;0;0;0;0;0;0;0;0;0;2;1;3;Chino;RIGID;LDV
2013;YUEJIN;NJ1062DA;CAMIONES;BARANDA;2013;7600;4X2;0;0;0;0;3;1;4;2;4;6;0;0;20;Chino;RIGID;LDV
2013;YUEJIN;NJ1062DA3;CAMIONES;BARANDA;2012;6100;4X2;0;0;0;0;0;0;0;0;0;0;1;0;1;Chino;RIGID;LDV
2013;YUEJIN;NJ1062DA3;CAMIONES;BARANDA;2012;6100;4X2;0;0;0;0;0;1;0;0;0;0;0;0;1;Chino;RIGID;LDV
2013;YUEJIN;NJ1062DAC;CAMIONES;FURGON;2012;7600;4X2;0;1;0;1;3;0;1;0;1;1;0;0;8;Chino;RIGID;LDV
2013;YUEJIN;NJ1062DAL;CAMIONES;BARANDA;2012;8940;4X2;0;0;0;0;1;0;0;0;0;0;0;0;1;Chino;RIGID;LDV
2013;YUEJIN;NJ1062DAL;CAMIONES;BARANDA;2012;8940;4X2;8;5;8;5;4;1;1;1;2;1;0;0;36;Chino;RIGID;LDV
2013;YUEJIN;NJ1062DAL;CAMIONES;BARANDA;2013;8940;4X2;0;0;0;0;0;0;0;0;0;0;2;0;2;Chino;RIGID;LDV
2013;YUEJIN;NJ1062DAL;CAMIONES;BARANDA;2013;8940;4X2;0;0;0;0;0;0;0;0;4;0;0;0;4;Chino;RIGID;LDV
2013;YUEJIN;NJ1063DAW;CAMIONES;BARANDA;2011;10290;4X2;0;0;1;0;0;0;0;0;0;0;0;0;1;Chino;RIGID;MDV
2013;YUEJIN;NJ1063DAW;CAMIONES;BARANDA;2012;10290;4X2;0;0;0;0;0;0;0;0;0;0;0;1;1;Chino;RIGID;MDV
2013;YUEJIN;NJ1063DAW;CAMIONES;BARANDA;2012;10290;4X2;8;3;3;5;7;9;1;2;1;0;0;0;39;Chino;RIGID;MDV
2013;YUEJIN;NJ1063DAW;CAMIONES;BARANDA;2013;10290;4X2;0;0;0;0;0;0;0;0;0;0;2;2;4;Chino;RIGID;MDV
2013;YUEJIN;NJ1063DAW;CAMIONES;BARANDA;2013;10290;4X2;0;0;0;0;0;1;0;1;0;1;0;0;3;Chino;RIGID;MDV
2013;YUEJIN;NJ1063DAWC;CAMIONES;FURGËN;2012;10000;4X2;0;0;0;0;0;0;1;1;0;0;0;0;2;Chino;RIGID;MDV
2013;YUEJIN;NJ1063DAWC;CAMIONES;FURGON;2012;10000;4X2;0;0;0;0;0;0;0;0;0;0;1;0;1;Chino;RIGID;MDV
2013;YUEJIN;NJ1063DAWC;CAMIONES;FURGON;2012;10000;4X2;1;0;0;1;1;0;0;0;1;1;0;0;5;Chino;RIGID;MDV
2013;YUEJIN;NJ1120DYW;CAMIONES;BARANDA;2012;13750;4X2;6;2;5;4;2;4;1;3;2;2;0;0;31;Chino;RIGID;MDV
2013;YUEJIN;NJ1120DYW;CAMIONES;BARANDA;2013;13750;4X2;0;0;0;0;0;0;0;0;0;0;1;1;2;Chino;RIGID;MDV
2013;YUEJIN;NJ1120DYW;CAMIONES;BARANDA;2013;13750;4X2;0;0;0;0;0;0;0;0;1;1;0;0;2;Chino;RIGID;MDV
2013;YUEJIN;NJ1120DYW3;CAMIONES;BARANDA;2012;13850;4X2;0;0;0;0;0;0;0;0;0;1;0;0;1;Chino;RIGID;MDV
2013;XCMG;NXG3251D3KC;CAMIONES;VOLQUETE;2011;41000;6X4;0;0;0;0;0;0;0;0;0;0;2;1;3;Chino;RIGID;HDV
2013;XCMG;NXG3251D3KC;CAMIONES;VOLQUETE;2011;41000;6X4;3;1;1;3;0;0;2;3;0;1;0;0;14;Chino;RIGID;HDV
2013;XCMG;NXG3251D3KC;CAMIONES;VOLQUETE;2013;41000;6X4;0;0;0;0;0;0;0;0;0;0;1;0;1;Chino;RIGID;HDV
2013;XCMG;NXG5160CSY3;CAMIONES;BARANDA;2012;17500;4X2;0;0;0;0;0;0;0;0;0;0;0;5;5;Chino;RIGID;MHDV
2013;XCMG;NXG5160CSY3;CAMIONES;BARANDA;2012;17500;4X2;0;1;0;0;0;2;0;0;0;0;0;0;3;Chino;RIGID;MHDV
2013;VOLVO;FH 4X2T;TRACTOCAMIONES;REMOLCADOR;2013;20100;4X2;0;0;2;3;0;0;0;1;1;0;0;0;7;Europea;TRACTO;MHDV
2013;VOLVO;FH 6X4R;CAMIONES;CABINADO;2012;28100;6X4;1;4;1;1;0;0;0;0;0;0;0;0;7;Europea;RIGID;HDV
2013;VOLVO;FH 6X4R;CAMIONES;CABINADO;2013;28100;6X4;0;0;0;0;0;0;0;0;0;0;5;2;7;Europea;RIGID;HDV
2013;VOLVO;FH 6X4R;CAMIONES;CABINADO;2013;28100;6X4;0;0;0;2;2;3;2;0;4;7;0;0;20;Europea;RIGID;HDV
2013;VOLVO;FH 6X4R;CAMIONES;CABINADO;2013;28100;6X4;0;0;0;0;0;1;0;0;0;0;0;0;1;Europea;RIGID;HDV
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;6X4;0;0;0;0;2;0;0;0;0;0;0;0;2;Europea;TRACTO;HDV
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2012;28100;6X4;0;0;0;0;0;0;0;0;0;0;0;22;22;Europea;TRACTO;HDV
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2012;28100;6X4;0;0;0;0;0;0;0;0;0;0;0;11;11;Europea;TRACTO;HDV
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2012;28100;6X4;22;12;6;2;3;0;0;0;0;0;0;0;45;Europea;TRACTO;HDV
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2012;28100;6X4;6;2;0;2;1;1;0;1;1;0;0;0;14;Europea;TRACTO;HDV
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;6X4;0;0;0;0;0;0;0;0;0;0;14;4;18;Europea;TRACTO;HDV
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;6X4;0;0;0;0;0;0;0;0;0;0;24;5;29;Europea;TRACTO;HDV
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;6X4;0;0;0;0;0;0;0;0;0;0;14;7;21;Europea;TRACTO;HDV
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;6X4;0;0;0;0;0;0;0;0;1;0;0;0;1;Europea;TRACTO;HDV
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;6X4;0;0;0;0;0;0;0;1;19;19;0;0;39;Europea;TRACTO;HDV
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;6X4;0;7;75;31;22;37;39;39;30;35;0;0;315;Europea;TRACTO;HDV
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;6X4;0;0;0;43;45;53;21;9;7;4;0;0;182;Europea;TRACTO;HDV
2013;VOLVO;FM 6X4T;TRACTOCAMIONES;REMOLCADOR;2012;34000;6X4;0;0;1;0;0;0;0;0;0;0;0;0;1;Europea;TRACTO;HDV
2013;VOLVO;FM 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;34000;6X4;0;0;0;0;2;0;1;1;2;0;0;0;6;Europea;TRACTO;HDV
2013;VOLVO;FM11 4X2R;CAMIONES;CABINADO;2012;20100;4X2;0;0;0;0;0;0;1;0;0;0;0;0;1;Europea;RIGID;MHDV
2013;VOLVO;FM11 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28100;6X4;0;0;0;0;0;0;6;0;0;0;0;0;6;Europea;TRACTO;HDV
2013;VOLVO;FMX 4X2R;CAMIONES;CABINADO;2012;30000;4X2;0;1;0;0;0;0;0;0;0;0;0;0;1;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;6X4;0;0;0;0;1;0;0;0;0;0;0;0;1;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2012;41000;6X4;0;0;0;0;0;0;0;0;0;0;1;37;38;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2012;41000;6X4;74;32;21;41;36;1;6;5;0;3;0;0;219;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2012;41000;6X4;1;0;0;0;0;0;0;0;0;0;0;0;1;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;6X4;0;0;0;0;0;0;0;0;0;0;2;1;3;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;6X4;0;0;0;0;0;0;0;0;0;0;44;6;50;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;6X4;0;0;0;0;0;0;0;0;0;0;3;3;6;Europea;RIGID;HDV
2013;VOLVO;FMX 6X4R;CAMIONES;CABINADO;2013;41000;6X4;0;0;0;0;0;0;0;0;1;0;0;0;1;Europea;RIGID;HDV
