ANIO,MES,PLACA,OFICINA,SERIE,USO,CLASEAAP,SUBCLASE,CARROCERIA,MARCA,MODELO,ORIGEN,COMBUSTIBLE,FORMULA,PBV,ASIENTOS,ANIOFAB
2019,ABRIL,BAG796,LIMA,1M1AN4HY3LM001776,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2019
2019,ABRIL,BAC804,LIMA,1M1AN4HY8LM001661,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2019
2019,ABRIL,BAC751,LIMA,1M1AN4HY5LM001679,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2019
2019,ABRIL,T9X904,TRUJILLO,1M1AN4HY4LM001690,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2019
2019,ABRIL,BAH747,LIMA,1M1AN4HY7LM001781,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2019
2019,ABRIL,BAF811,LIMA,1M1AN4HY2KM001458,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAF775,LIMA,1M1AN4HY9KM001649,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAF755,LIMA,1M1AN4HY4KM001669,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAF793,LIMA,1M1AN4HY2KM001668,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAE945,LIMA,1M1AN4HY4KM001459,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAF718,LIMA,1M1AN4HY4KM001686,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAF717,LIMA,1M1AN4HY8KM001464,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAE853,LIMA,1M1AN4HY1KM001466,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAE737,LIMA,1M1AN4HYXKM001627,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAD837,LIMA,1M1AN4HY5KM001454,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAD810,LIMA,1M1AN4HY1KM001628,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAC813,LIMA,1M1AN4HY6KM001642,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAC795,LIMA,1M1AN4HY7KM001360,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAC861,LIMA,1M1AN4HY8KM001352,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAC882,LIMA,1M1AN4HY5KM001356,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAB837,LIMA,1M1AN4HY9KM001361,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAB720,LIMA,1M1AN4HY0KM001457,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,AZZ908,LIMA,1M1AN4HY2KM001394,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAA821,LIMA,1M1AN4HY1KM001399,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAE922,LIMA,1M1AN4HY3KM001467,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAE889,LIMA,1M1AN4HY6KM001480,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,T9Y884,TRUJILLO,1M1AN4HY2KM001475,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAE833,LIMA,1M1AN4HY8KM001478,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAE731,LIMA,1M1AN4HY6KM001477,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,T9Y804,TRUJILLO,1M1AN4HY6KM001446,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,AZZ887,LIMA,1M1AN4HYXKM001448,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAF937,LIMA,1M1AN4HY7KM001651,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAF860,LIMA,1M1AN4HY0KM001670,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAG736,LIMA,1M1AN4HY5KM001650,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAF913,LIMA,1M1AN4HY9KM001652,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAF779,LIMA,1M1AN4HY0KM001653,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,ABRIL,BAF783,LIMA,1M1AN4HY7KM001648,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,25000,2,2018
2019,MARZO,AZV772,LIMA,1M1AW07Y9KM090081,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,CXU613E,UNITED STATES                                               ,DIESEL,6X4,27600,2,2018
2019,MARZO,AZT807,LIMA,1M1AN4HY6KM001219,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2018
2019,MARZO,AZR855,LIMA,1M1AN4HY5KM001213,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2018
2019,MARZO,AZX809,LIMA,1M1AN4HYXKM001644,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2018
