ANIO;MES;OFICINA;CHASIS;CLASE;SUBCLASE;CARROCERIA;MARCA;MODELO;ORIGEN;FORMULARODANTE; PBV ;FABRICACION
2019;ABRIL;LIMA;1776;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2019
2019;ABRIL;LIMA;1661;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2019
2019;ABRIL;LIMA;1679;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2019
2019;ABRIL;TRUJILLO;1690;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2019
2019;ABRIL;LIMA;1781;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2019
2019;ABRIL;LIMA;1458;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1649;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1669;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1668;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1459;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1686;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1464;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1466;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1627;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1454;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1628;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1642;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1360;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1352;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1356;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1361;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1457;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1394;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1399;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1467;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1480;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;TRUJILLO;1475;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1478;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;LIMA;1477;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
2019;ABRIL;TRUJILLO;1446;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;MACK;AN64TX;UNITED STATES                                               ;6X4;27,600;2018
