AÑO;MARCA;MODELO;CAMIONES/ TRACTO;CARROCERIA;AÑO FAB;P.BRUTO;ORIGEN;FORMULA RODANTE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;TTL;PER - Origen  de Marca;TYPE;"VOLVO / MACK 
SEGMENTATION";PER - CLAS. FINAL;"CODIGO 
VINCULADOR
(APLICATION SEGMENT)";"APLICATION
SEGMENTS"
2013;YUEJIN;NJ1020DF;CAMIONES;BARANDA;2012;3490;CHINA;4X2;0;1;17;12;6;2;0;0;0;1;0;0;39;Chino;RIGID;NO APLICA;XLDV;YUEJIN NJ1020DFBARANDA4X2XLDV;No aplica
2013;YUEJIN;NJ1028DB;CAMIONES;BARANDA;2012;5280;CHINA;4X2;0;0;0;0;0;0;0;0;0;0;0;1;1;Chino;RIGID;NO APLICA;XLDV;YUEJIN NJ1028DBBARANDA4X2XLDV;No aplica
2013;YUEJIN;NJ1028DB;CAMIONES;BARANDA;2012;5280;CHINA;4X2;3;1;5;8;6;0;0;0;1;0;0;0;24;Chino;RIGID;NO APLICA;XLDV;YUEJIN NJ1028DBBARANDA4X2XLDV;No aplica
2013;YUEJIN;NJ1028DB;CAMIONES;BARANDA;2013;5280;CHINA;4X2;0;0;0;0;0;0;0;0;0;0;7;10;17;Chino;RIGID;NO APLICA;XLDV;YUEJIN NJ1028DBBARANDA4X2XLDV;No aplica
2013;YUEJIN;NJ1028DB;CAMIONES;BARANDA;2013;5280;CHINA;4X2;0;0;0;0;0;5;3;0;4;6;0;0;18;Chino;RIGID;NO APLICA;XLDV;YUEJIN NJ1028DBBARANDA4X2XLDV;No aplica
2013;YUEJIN;NJ1028DB3;CAMIONES;BARANDA;2012;5208;CHINA;4X2;0;0;0;0;0;0;0;0;0;0;1;0;1;Chino;RIGID;NO APLICA;XLDV;YUEJIN NJ1028DB3BARANDA4X2XLDV;No aplica
2013;YUEJIN;NJ1028DB3;CAMIONES;BARANDA;2012;5208;CHINA;4X2;0;0;0;1;0;0;0;0;0;0;0;0;1;Chino;RIGID;NO APLICA;XLDV;YUEJIN NJ1028DB3BARANDA4X2XLDV;No aplica
2013;YUEJIN;NJ1028DBC;CAMIONES;FURGËN;2012;5400;CHINA;4X2;0;0;0;0;0;1;0;0;0;0;0;0;1;Chino;RIGID;NO APLICA;XLDV;YUEJIN NJ1028DBCFURGËN4X2XLDV;No aplica
2013;YUEJIN;NJ1028DBC;CAMIONES;FURGON;2012;5400;CHINA;4X2;3;1;4;8;3;0;2;0;0;0;0;0;21;Chino;RIGID;NO APLICA;XLDV;YUEJIN NJ1028DBCFURGON4X2XLDV;No aplica
2013;YUEJIN;NJ1028DBC;CAMIONES;FURGON;2013;5400;CHINA;4X2;0;0;0;0;0;0;0;0;1;1;0;0;2;Chino;RIGID;NO APLICA;XLDV;YUEJIN NJ1028DBCFURGON4X2XLDV;No aplica
